epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,702.433,1.7294,0.61036,1.7767,0.97233,0.99929,0.9898,0.73047,2.08007,0.6078,1.92141,0.000808828,0.000808828,0.000808828
106,709.107,1.74326,0.61592,1.75589,0.99821,0.99351,0.995,0.7414,1.97674,0.57378,1.89202,0.000800577,0.000800577,0.000800577
107,715.777,1.72101,0.62511,1.75315,0.99648,0.99953,0.995,0.7498,2.06707,0.58784,1.90074,0.000792325,0.000792325,0.000792325
108,722.6,1.71315,0.61978,1.76178,0.99614,0.99907,0.995,0.74995,2.04462,0.58407,1.90268,0.000784073,0.000784073,0.000784073
109,729.259,1.72161,0.60191,1.74915,0.99978,0.99982,0.995,0.74721,2.03988,0.57874,1.9063,0.000775822,0.000775822,0.000775822
110,735.934,1.70593,0.60132,1.7606,0.99796,1,0.995,0.73918,2.03658,0.59284,1.89334,0.00076757,0.00076757,0.00076757
111,742.689,1.69832,0.6373,1.75511,0.98927,1,0.99491,0.74461,2.03828,0.59306,1.89925,0.000759318,0.000759318,0.000759318
112,749.389,1.66337,0.60302,1.75672,0.98955,0.99762,0.99491,0.7452,2.01594,0.60482,1.89774,0.000751067,0.000751067,0.000751067
113,756.196,1.72369,0.62842,1.77009,0.98517,0.99966,0.99477,0.74676,2.07237,0.5987,1.91292,0.000742815,0.000742815,0.000742815
114,762.92,1.67129,0.6111,1.73818,0.99392,0.99038,0.99491,0.74495,2.10919,0.60127,1.92652,0.000734564,0.000734564,0.000734564
115,769.592,1.74268,0.61541,1.76722,0.9983,0.99878,0.995,0.74805,2.04214,0.58552,1.90441,0.000726312,0.000726312,0.000726312
116,776.288,1.6955,0.60419,1.74518,0.99069,0.99814,0.99492,0.74942,2.04326,0.58492,1.89525,0.00071806,0.00071806,0.00071806
117,783.103,1.69879,0.60867,1.74037,1,0.98933,0.99464,0.73144,2.06687,0.62237,1.90657,0.000709809,0.000709809,0.000709809
118,789.787,1.69592,0.59949,1.75195,0.99868,0.99786,0.995,0.75325,2.00772,0.57871,1.89917,0.000701557,0.000701557,0.000701557
119,796.491,1.62573,0.57476,1.73856,0.99416,0.99901,0.995,0.75375,2.0103,0.56932,1.89566,0.000693305,0.000693305,0.000693305
120,803.233,1.70867,0.59417,1.75692,0.9684,0.99951,0.97807,0.73942,2.03338,0.61659,1.90015,0.000685054,0.000685054,0.000685054
121,809.908,1.66744,0.59332,1.73552,0.98025,1,0.9937,0.74422,2.06777,0.59742,1.92032,0.000676802,0.000676802,0.000676802
122,816.584,1.66952,0.58466,1.73623,0.98912,1,0.99066,0.75246,2.00091,0.57628,1.89291,0.00066855,0.00066855,0.00066855
123,823.425,1.65157,0.58236,1.73782,0.99412,0.99859,0.995,0.75053,2.06025,0.57663,1.93144,0.000660299,0.000660299,0.000660299
124,830.121,1.68653,0.60575,1.75212,0.99492,1,0.995,0.75606,2.04479,0.58222,1.91535,0.000652047,0.000652047,0.000652047
125,836.776,1.66341,0.59612,1.75516,0.99481,1,0.995,0.74185,2.07559,0.57681,1.92361,0.000643795,0.000643795,0.000643795
126,843.462,1.6639,0.58373,1.7353,0.99683,0.99907,0.995,0.73351,2.11203,0.59837,1.93572,0.000635544,0.000635544,0.000635544
127,850.268,1.67556,0.57886,1.7595,0.99315,0.99912,0.995,0.74459,2.03708,0.57275,1.91473,0.000627292,0.000627292,0.000627292
128,856.954,1.6471,0.58264,1.75579,0.99372,0.99902,0.995,0.75228,2.02883,0.58003,1.91457,0.00061904,0.00061904,0.00061904
129,863.635,1.67261,0.59217,1.74609,0.9984,0.99953,0.995,0.75073,2.00124,0.57057,1.8997,0.000610789,0.000610789,0.000610789
130,870.352,1.6612,0.58197,1.75123,0.99696,0.99931,0.995,0.75343,2.02525,0.56255,1.89827,0.000602537,0.000602537,0.000602537
131,877.059,1.65018,0.5748,1.75187,0.99723,1,0.995,0.7528,2.00179,0.55711,1.90072,0.000594286,0.000594286,0.000594286
132,883.878,1.62858,0.5803,1.7264,0.99766,0.99038,0.99491,0.72979,2.10549,0.59902,1.93686,0.000586034,0.000586034,0.000586034
133,890.559,1.64727,0.57561,1.75403,0.99696,0.99953,0.995,0.73799,2.07634,0.57273,1.91632,0.000577782,0.000577782,0.000577782
134,897.21,1.61373,0.57223,1.71859,0.98669,0.99423,0.99491,0.73359,2.09637,0.62471,1.92086,0.000569531,0.000569531,0.000569531
135,903.857,1.65374,0.59936,1.7556,0.99824,0.991,0.995,0.74845,2.06836,0.57542,1.91542,0.000561279,0.000561279,0.000561279
136,910.657,1.62701,0.59109,1.73766,0.99759,1,0.995,0.75291,2.04757,0.57415,1.90201,0.000553027,0.000553027,0.000553027
