epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,471.998,0.79157,0.33647,0.87086,0.9989,1,0.995,0.75398,0.98757,0.32233,0.9442,0.000280723,0.000280723,0.000280723
86,477.531,0.7991,0.33388,0.86505,0.99885,1,0.995,0.75978,0.99367,0.32018,0.94459,0.00026422,0.00026422,0.00026422
87,483.067,0.79149,0.33266,0.86113,0.99885,1,0.995,0.75751,0.97562,0.3193,0.93994,0.000247716,0.000247716,0.000247716
88,488.671,0.77247,0.32243,0.85672,0.99881,1,0.995,0.75392,0.99661,0.31807,0.95013,0.000231213,0.000231213,0.000231213
89,494.189,0.79318,0.32721,0.85778,0.99888,1,0.995,0.75098,1.00124,0.31935,0.94981,0.00021471,0.00021471,0.00021471
90,499.859,0.76944,0.32104,0.85799,0.99864,1,0.995,0.75769,0.97612,0.31487,0.94323,0.000198206,0.000198206,0.000198206
91,506.196,0.77557,0.31556,0.87682,0.99891,1,0.995,0.75396,0.97648,0.31602,0.94149,0.000181703,0.000181703,0.000181703
92,511.745,0.77195,0.31368,0.87059,0.99931,1,0.995,0.75621,0.98567,0.31829,0.94619,0.0001652,0.0001652,0.0001652
93,517.253,0.76621,0.30549,0.8727,0.99875,1,0.995,0.74479,1.00438,0.33012,0.95425,0.000148696,0.000148696,0.000148696
94,522.791,0.75574,0.29736,0.87495,0.99886,1,0.995,0.75618,0.9888,0.32124,0.94815,0.000132193,0.000132193,0.000132193
95,528.32,0.74447,0.30169,0.86992,0.99895,1,0.995,0.75487,1.00365,0.32374,0.95109,0.00011569,0.00011569,0.00011569
96,533.837,0.75364,0.29958,0.86717,0.99893,1,0.995,0.75389,0.99475,0.32321,0.94726,9.91865e-05,9.91865e-05,9.91865e-05
97,539.376,0.74992,0.29281,0.87383,0.99889,1,0.995,0.75434,0.99942,0.32545,0.94883,8.26832e-05,8.26832e-05,8.26832e-05
98,544.883,0.73737,0.29441,0.86877,0.99896,1,0.995,0.75236,0.9836,0.31553,0.94626,6.61799e-05,6.61799e-05,6.61799e-05
99,550.42,0.73596,0.29176,0.86113,0.99898,1,0.995,0.75953,0.99171,0.31873,0.9504,4.96766e-05,4.96766e-05,4.96766e-05
100,555.941,0.74492,0.29144,0.87066,0.99894,1,0.995,0.75784,0.9955,0.31464,0.94968,3.31733e-05,3.31733e-05,3.31733e-05
